bacteria,metabolite,target_gene,activation_hypothesis,promoter_interval,context_interval,macro_level_effect
F. prausnitzii,Butyrate,IL10,"HDAC inhibition leads to hyperacetylation of histone H3 at the promoter, increasing accessibility for STAT3.",chr1:206771230-206771240,chr1:206671235-206871235,Anti-inflammatory protection
Roseburia spp.,Butyrate,MUC2,"Butyrate increases SP1 binding to the promoter, upregulating mucin production.",chr11:1074872-1074882,chr11:974877-1174877,Enhanced mucosal barrier
R. bromii,Acetate,GPR43,"Acetate acts as a direct ligand for FFAR2 (GPR43), triggering a signaling cascade that stabilizes the promoter complex.",chr19:48318040-48318050,chr19:48218045-48418045,Improved metabolic homeostasis
C. eutactus,Butyrate,BDNF,SCFA-induced HDAC inhibition increases BDNF expression via the CREB pathway in the gut-brain axis.,chr11:27658360-27658370,chr11:27558365-27758365,Neuroprotection / Mood stability
E. coli (AIEC),Propionate,TNF,High concentrations of specific SCFAs in dysbiotic states can paradoxically trigger NF-kB binding at the TNF promoter.,chr6:31575230-31575240,chr6:31475235-31675235,Pro-inflammatory response
D. piger,H2​S,COX2,"Hydrogen sulfide inhibits cytochrome c oxidase, leading to oxidative stress and NF-kB activation of PTGS2.",chr1:186680570-186680580,chr1:186580575-186780575,Intestinal inflammation
P. copri,Succinate,IL1B,"Succinate accumulates in the gut and activates GPR91, leading to HIF-1a stabilization and promoter binding.",chr2:112837650-112837660,chr2:112737655-112937655,Rheumatoid arthritis / Joint inflammation
Blautia obeum,Bile Acids (Secondary),NR1H4,Secondary bile acids act as direct ligands for the Farnesoid X Receptor (FXR) encoded by this gene.,chr12:100438670-100438680,chr12:100338675-100538675,Metabolic regulation & lipid homeostasis
S. dysenteriae,OspF (Effector),IL8 (CXCL8),"OspF enters the nucleus to irreversibly dephosphorylate MAPK, preventing recruitment of RNA polymerase II.",chr4:73740280-73740290,chr4:73640285-73840285,Immune evasion / Pro-inflammatory inhibition
E. albertii,CdtB (Toxin),CDKN1A,"Induces DNA double-strand breaks, triggering the p53 pathway and upregulating p21 to arrest the cell cycle.",chr6:36677460-36677470,chr6:36577465-36777465,Cell cycle arrest / DNA damage response
